Method,MethodLabel,BandIndex,BandCenter_Hz,ILDAbsoluteError_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
RANF,RANF,33,16099.8349609375,3.0100602317940104,2.8308840520002625,3.1927310361103576
RANF,RANF,34,17945.59765625,3.1358124342831699,2.9480900679122319,3.3282225222750141
HYBRID,Hybrid E190,0,247.59120178222656,0.14326903545721012,0.12796289559707721,0.16036550045352088
HYBRID,Hybrid E190,1,301.46255493164062,0.16326505894010718,0.145771139589223,0.18309042121029712
HYBRID,Hybrid E190,2,361.42340087890625,0.19758644683117216,0.17883243647573346,0.2175464024343951
HYBRID,Hybrid E190,3,428.16201782226562,0.22501634518531236,0.206349645906382,0.24423526194454595
HYBRID,Hybrid E190,4,502.444580078125,0.31481986255808309,0.27986910112032837,0.35584035917947238
HYBRID,Hybrid E190,5,585.12384033203125,0.39450274001468311,0.35728383883833886,0.43422424087131561
HYBRID,Hybrid E190,6,677.14886474609375,0.43959161605347286,0.39918614592911167,0.48094943246211513
HYBRID,Hybrid E190,7,779.576171875,0.61390063640746206,0.56070115744051607,0.67039132572033189
HYBRID,Hybrid E190,8,893.58160400390625,0.75712752003561368,0.70670822782611298,0.81375468617135827
HYBRID,Hybrid E190,9,1020.4738159179688,0.76060540364547213,0.70942541814663196,0.811962183531035
HYBRID,Hybrid E190,10,1161.7095947265625,0.92445298216559668,0.86537431048398672,0.98305362730541013
HYBRID,Hybrid E190,11,1318.9102783203125,0.92808342860503634,0.84776975844394076,1.0124177582900633
HYBRID,Hybrid E190,12,1493.88037109375,1.0375908938321201,0.96645921482281261,1.1129967112432826
HYBRID,Hybrid E190,13,1688.628662109375,1.145655789158561,1.0541740519756622,1.2464148478413171
HYBRID,Hybrid E190,14,1905.390625,1.3310357643799349,1.2187666948207401,1.4497421530837362
HYBRID,Hybrid E190,15,2146.65478515625,1.4990267618135973,1.3965020857074044,1.6055893217975443
HYBRID,Hybrid E190,16,2415.19091796875,1.6202368397604336,1.5266313249414618,1.71623862483962
HYBRID,Hybrid E190,17,2714.081298828125,1.7683255780826916,1.6586923263289712,1.8816776474768464
HYBRID,Hybrid E190,18,3046.757568359375,1.795588951219212,1.6781059133058245,1.9195056769658219
HYBRID,Hybrid E190,19,3417.03857421875,1.8226124197244644,1.698082524504174,1.9522887838835066
HYBRID,Hybrid E190,20,3829.1748046875,1.7832484746521169,1.664084808968685,1.9123551253229378
HYBRID,Hybrid E190,21,4287.89794921875,1.7564156841148029,1.6511327549815178,1.8680578050965613
HYBRID,Hybrid E190,22,4798.4736328125,1.8179843073541468,1.7244291352277452,1.9168634020469404
HYBRID,Hybrid E190,23,5366.763671875,1.8887243243781002,1.795457623898983,1.984749464893883
HYBRID,Hybrid E190,24,5999.29150390625,2.0115917487577959,1.8750821814618328,2.1571051741865546
HYBRID,Hybrid E190,25,6703.318359375,2.2433085875077681,2.0787823367525231,2.4244723634963687
HYBRID,Hybrid E190,26,7486.92626953125,2.5414565070108934,2.3735752349550072,2.7134767239744013
HYBRID,Hybrid E190,27,8359.1103515625,2.6862635910511017,2.5213546467098324,2.8659034791995182
HYBRID,Hybrid E190,28,9329.884765625,2.5648265155878933,2.4113001037050377,2.7187820332294157
HYBRID,Hybrid E190,29,10410.3916015625,2.5381745506416666,2.3776830421930009,2.7027367361567238
HYBRID,Hybrid E190,30,11613.0361328125,2.5484013015573677,2.3823198186402972,2.7278089019385252
HYBRID,Hybrid E190,31,12951.625,2.4186705269596795,2.2808520314368335,2.5685181468725204
HYBRID,Hybrid E190,32,14441.5224609375,2.4248157251964915,2.2264269429174339,2.6354617926207453
