SparseOrder,Method,Ear,FrequencyHz,MeanERBError_dB,SD_ERBError_dB
2,MCA,Left,776.216613786162,0.307360048241693,0.0365450594952858
2,MCA,Left,889.551441382679,0.395813020673909,0.0427413062202729
2,MCA,Left,1015.66651804335,0.5291527316369,0.0496387716619331
2,MCA,Left,1156.00301387982,0.723549521856256,0.050444932310073
2,MCA,Left,1312.16461315198,0.833381261706113,0.0381341160238748
2,MCA,Left,1485.93584024358,0.883807788381861,0.0502883104551897
2,MCA,Left,1679.30245217416,0.935762145393233,0.0610847140857991
2,MCA,Left,1894.47413068111,0.960081454497717,0.0618823384887997
2,MCA,Left,2133.90973318379,0.980063276989669,0.0665032000897965
2,MCA,Left,2400.34539118311,1.00684139122198,0.0830569768646584
2,MCA,Left,2696.82577718896,1.02672210207823,0.0932006801674082
2,MCA,Left,3026.73889747556,1.05337686073196,0.112435082507744
2,MCA,Left,3393.85480825658,1.13222533118319,0.134488999894285
2,MCA,Left,3802.36869770572,1.24327622871169,0.150624655130476
2,MCA,Left,4256.94882613932,1.32912029525616,0.17280773234656
2,MCA,Left,4762.78987219375,1.40384931911653,0.185134803950716
2,MCA,Left,5325.67229460656,1.40783756883753,0.180211961370975
2,MCA,Left,5952.02838795379,1.44258995066633,0.177275141742704
2,MCA,Left,6649.01578718983,1.54361055839398,0.218687215977338
2,MCA,Left,7424.59926095756,1.73283662924671,0.278917890004499
2,MCA,Left,8287.64172835503,2.07730637272023,0.351668243645086
2,MCA,Left,9248.00553924585,2.22837951388639,0.372652140183552
2,MCA,Left,10316.6651754859,2.13235279554496,0.306995005244028
2,MCA,Left,11505.8326609511,2.1884644986693,0.312742389272407
2,MCA,Left,12829.0971134787,2.34489559787868,0.322157600053687
2,MCA,Left,14301.580033442,2.41606743589118,0.313751196860944
2,MCA,Left,15940.1081035055,2.50323582466449,0.285564866389345
2,MCA,Left,17763.4054742165,2.52794913118503,0.288224160578214
2,MCA,Left,19792.3077327617,2.51926332842762,0.34288261721224
2,MCA,Right,49.9999999999997,0.0146590330359796,0.0053759126994871
2,MCA,Right,81.4427085053407,0.014406640349801,0.00537839280596109
2,MCA,Right,116.431067138464,0.0123989173293577,0.00459055725499339
2,MCA,Right,155.364902613614,0.00768832610435842,0.00255189031249562
2,MCA,Right,198.689128271089,0.00650220463995408,0.00140764738813292
2,MCA,Right,246.898828289411,0.0075745312010374,0.00140584298910974
2,MCA,Right,300.544915220817,0.0141839390636211,0.0025433973882167
2,MCA,Right,360.240425501075,0.0293342620223175,0.00592133418308314
2,MCA,Right,426.667524875106,0.0565543066447935,0.0112188725928099
2,MCA,Right,500.585303792335,0.098229309492267,0.0178018456775918
2,MCA,Right,582.838451853057,0.153752530822411,0.0239552169246884
2,MCA,Right,674.366910432351,0.220002633046452,0.0294662149695396
2,MCA,Right,776.216613786162,0.294549509539669,0.0346032370758837
2,MCA,Right,889.551441382679,0.380302137749796,0.0399420934743432
2,MCA,Right,1015.66651804335,0.518358160299721,0.0510955685859419
2,MCA,Right,1156.00301387982,0.724751287415477,0.0534046843411855
2,MCA,Right,1312.16461315198,0.838145074810324,0.0461326172029161
2,MCA,Right,1485.93584024358,0.886921096315317,0.0578527783419186
2,MCA,Right,1679.30245217416,0.936124721528792,0.0674433301195685
2,MCA,Right,1894.47413068111,0.953105585613229,0.0705162125138657
2,MCA,Right,2133.90973318379,0.961081384795127,0.0739327049670102
2,MCA,Right,2400.34539118311,0.978348744416364,0.0823552800612533
2,MCA,Right,2696.82577718896,0.995467247778705,0.0857019956818677
2,MCA,Right,3026.73889747556,1.02407497509983,0.101896869437112
2,MCA,Right,3393.85480825658,1.09722411683442,0.123015273915964
2,MCA,Right,3802.36869770572,1.19329244071282,0.123620742208191
2,MCA,Right,4256.94882613932,1.27541806050522,0.138005523645717
2,MCA,Right,4762.78987219375,1.36815329875233,0.162515118928931
2,MCA,Right,5325.67229460656,1.40239921637251,0.169640263427283
2,MCA,Right,5952.02838795379,1.44475016394212,0.161144515603687
2,MCA,Right,6649.01578718983,1.53613459701481,0.20939932815564
2,MCA,Right,7424.59926095756,1.74489314524544,0.283417502692924
2,MCA,Right,8287.64172835503,2.11077871471567,0.367507321160336
2,MCA,Right,9248.00553924585,2.22791042125312,0.36813966301376
2,MCA,Right,10316.6651754859,2.11546141752644,0.373504225577666
2,MCA,Right,11505.8326609511,2.12253880915087,0.302179082351467
2,MCA,Right,12829.0971134787,2.21539056693056,0.347468176988441
2,MCA,Right,14301.580033442,2.31320712939895,0.347333623747216
2,MCA,Right,15940.1081035055,2.39135316278022,0.315667733431408
2,MCA,Right,17763.4054742165,2.43476011294439,0.290722324658428
2,MCA,Right,19792.3077327617,2.43439629012231,0.297114846821185
3,SH,Left,49.9999999999997,0.000853061414286935,0.000148277254582018
3,SH,Left,81.4427085053407,0.000496133313313956,0.000100895169986597
3,SH,Left,116.431067138464,0.000471231383378837,8.94384141687562e-05
3,SH,Left,155.364902613614,0.000189649724980931,5.15807030777742e-05
3,SH,Left,198.689128271089,0.00019591068220176,8.41153323536018e-05
3,SH,Left,246.898828289411,0.00470568924018926,0.000691554201695473
3,SH,Left,300.544915220817,0.00153726811310702,0.000249493588094832
3,SH,Left,360.240425501075,0.00191043256999313,0.000502667397440089
3,SH,Left,426.667524875106,0.00384564387644779,0.000933391812096676
3,SH,Left,500.585303792335,0.00706623155792523,0.00160046628560408
3,SH,Left,582.838451853057,0.0123588099480722,0.00259782219870937
3,SH,Left,674.366910432351,0.0226064668337072,0.00458470518630385
3,SH,Left,776.216613786162,0.0441878957696124,0.00861379577865421
3,SH,Left,889.551441382679,0.0857634599330392,0.0159842729312286
3,SH,Left,1015.66651804335,0.162082870864507,0.0285476001500394
3,SH,Left,1156.00301387982,0.292442720623027,0.0487425795907335
3,SH,Left,1312.16461315198,0.505586413593015,0.0820576320479805
3,SH,Left,1485.93584024358,0.864672473394637,0.145580690288146
3,SH,Left,1679.30245217416,1.43535157977056,0.227570286330689
3,SH,Left,1894.47413068111,2.16946696968497,0.299905616632432
3,SH,Left,2133.90973318379,2.94338833680843,0.340503948040466
3,SH,Left,2400.34539118311,3.61796094003201,0.305981728216551
3,SH,Left,2696.82577718896,4.09900703845024,0.248037010606271
3,SH,Left,3026.73889747556,4.61424271936018,0.237210065946203
3,SH,Left,3393.85480825658,5.02148779368049,0.180502854562796
3,SH,Left,3802.36869770572,4.85611079337909,0.333243172304761
3,SH,Left,4256.94882613932,4.30244341423402,0.412951022221028
3,SH,Left,4762.78987219375,3.72738040372903,0.387638880729059
3,SH,Left,5325.67229460656,3.41320682535709,0.352134088999979
3,SH,Left,5952.02838795379,3.35203395623008,0.318943129757415
3,SH,Left,6649.01578718983,3.38768779376482,0.284239779459938
3,SH,Left,7424.59926095756,3.66828085889318,0.411944082308448
3,SH,Left,8287.64172835503,4.12111081844483,0.473990427738643
3,SH,Left,9248.00553924585,4.192518435052,0.461108280999428
3,SH,Left,10316.6651754859,4.01309670840971,0.382250613005796
3,SH,Left,11505.8326609511,4.05307466302479,0.386979973488064
3,SH,Left,12829.0971134787,4.21859361516949,0.462314244176676
3,SH,Left,14301.580033442,4.63523194818009,0.550618427175906
3,SH,Left,15940.1081035055,5.17034615874823,0.615452350042523
3,SH,Left,17763.4054742165,5.4881873650993,0.460956413750723
3,SH,Left,19792.3077327617,5.25693563016771,0.516971958152787
3,SH,Right,49.9999999999997,0.000828992347695011,0.000138261216561663
3,SH,Right,81.4427085053407,0.000465732736799305,0.000102896674025349
3,SH,Right,116.431067138464,0.000460228125213163,7.58668995451645e-05
3,SH,Right,155.364902613614,0.000205144110245627,7.59479225579185e-05
3,SH,Right,198.689128271089,0.000241943523171938,0.000128937436756751
3,SH,Right,246.898828289411,0.0047760088870835,0.000661665059258687
3,SH,Right,300.544915220817,0.00180126475337878,0.000375656389660636
3,SH,Right,360.240425501075,0.00251029639884697,0.000757560987513855
3,SH,Right,426.667524875106,0.00497333358306052,0.00139119119431155
3,SH,Right,500.585303792335,0.00903129769779186,0.0023773769228875
3,SH,Right,582.838451853057,0.0155911210230054,0.00383093189244485
3,SH,Right,674.366910432351,0.028039329877861,0.00676499631310284
3,SH,Right,776.216613786162,0.0533931807510238,0.0123902202059523
3,SH,Right,889.551441382679,0.101016083755939,0.0223892619492838
3,SH,Right,1015.66651804335,0.187243666694677,0.0392684189367004
3,SH,Right,1156.00301387982,0.333892715617379,0.0668280830754405
3,SH,Right,1312.16461315198,0.578563059550612,0.117863042935206
3,SH,Right,1485.93584024358,0.994491919240062,0.204575098635469
3,SH,Right,1679.30245217416,1.63381479204035,0.306387547657273
3,SH,Right,1894.47413068111,2.44234489565525,0.392160070881833
3,SH,Right,2133.90973318379,3.25672107390922,0.404382694829899
3,SH,Right,2400.34539118311,3.88703490733246,0.315482257094175
3,SH,Right,2696.82577718896,4.32638478591624,0.26373679340934
3,SH,Right,3026.73889747556,4.74975737388998,0.204819221230879
3,SH,Right,3393.85480825658,4.89165099491997,0.221008797522065
3,SH,Right,3802.36869770572,4.535637479081,0.43502256617519
3,SH,Right,4256.94882613932,3.94239505628497,0.503173130493751
3,SH,Right,4762.78987219375,3.42358599598312,0.401532656764005
3,SH,Right,5325.67229460656,3.26782130742236,0.26674016672916
3,SH,Right,5952.02838795379,3.32532004654707,0.274956430968453
3,SH,Right,6649.01578718983,3.44987312370911,0.328697566793419
