SparseOrder,Method,Ear,Region,SubjectCount,MeanERBError_dB,SD_ERBError_dB,MedianERBError_dB,MinERBError_dB,MaxERBError_dB
2,Conventional,Left,Contralateral25deg,96,2.77890785993389,0.241526163881697,2.77759930537858,2.20509682415801,3.64112502779248
2,Conventional,Right,FullSphere,96,1.24059826492488,0.0777587650393692,1.22550480251389,1.05363839586973,1.4659741976477
2,Conventional,Right,Frontal25deg,96,0.831547946342299,0.193511516539925,0.777674475446855,0.57140524527041,1.73823996063512
2,Conventional,Right,Contralateral25deg,96,2.74422345982332,0.305734353412076,2.71088739245323,2.15309967021967,3.86947723437074
2,MCA,Left,FullSphere,96,1.03556878422863,0.048248776442195,1.04225242616674,0.854882736563945,1.15349414705882
2,MCA,Left,Frontal25deg,96,0.855379932668669,0.146224291238009,0.843340989412596,0.594707930386717,1.18246182182133
2,MCA,Left,Contralateral25deg,96,1.85581724105369,0.123622651855892,1.85525425641236,1.59731250400061,2.22607387596329
2,MCA,Right,FullSphere,96,1.01356086784546,0.0457989951422649,1.01737534083995,0.900320009441493,1.13263097892365
2,MCA,Right,Frontal25deg,96,0.816264792037973,0.137459457152575,0.800824827238908,0.5278704935378,1.35456481901655
2,MCA,Right,Contralateral25deg,96,1.83664909014107,0.103821355381473,1.85073924329316,1.59826578478198,2.06215773865092
3,SH,Left,FullSphere,96,2.28708281288304,0.0824675103257776,2.28915088010825,2.09014766250939,2.43929639431251
3,SH,Left,Frontal25deg,96,1.55144645730834,0.143804788408924,1.55680548702895,1.15899130188073,1.86047070771055
3,SH,Left,Contralateral25deg,96,5.4781075206544,0.337500118322217,5.4425743059436,4.39315558656336,6.21623747291333
3,SH,Right,FullSphere,96,2.30447539214235,0.0768713852587456,2.30221229690318,2.12581698459248,2.51649129098327
3,SH,Right,Frontal25deg,96,1.51625124829931,0.102765907994274,1.52312369756671,1.26187873962329,1.71137755842925
3,SH,Right,Contralateral25deg,96,5.55333424728556,0.313864064642833,5.57357407095925,4.80910086278393,6.15379305139984
3,Conventional,Left,FullSphere,96,1.09804548973335,0.0918753279292708,1.08753328922869,0.917282887811832,1.32956920395596
3,Conventional,Left,Frontal25deg,96,0.803352257034829,0.136226538561356,0.805433642226746,0.549987425927564,1.11739935945587
3,Conventional,Left,Contralateral25deg,96,2.68192279486074,0.188120579655332,2.68284928335615,2.18579923485665,3.27050700857113
3,Conventional,Right,FullSphere,96,1.02303050873032,0.072267545934188,1.01253110499745,0.852302037086657,1.27481801763398
3,Conventional,Right,Frontal25deg,96,0.650999570747547,0.124181020609985,0.635185756340053,0.427378966629917,1.02771539191179
3,Conventional,Right,Contralateral25deg,96,2.62850846038662,0.161657556329952,2.60358473180517,2.31593377364408,3.08650144018002
3,MCA,Left,FullSphere,96,0.803506704756701,0.037598298357621,0.804072021948856,0.648683900754692,0.881684663762183
3,MCA,Left,Frontal25deg,96,0.545909843718799,0.0751941484064593,0.546046900876383,0.341915603456306,0.768055402290656
3,MCA,Left,Contralateral25deg,96,1.89649695811313,0.143528933565359,1.90814137634747,1.57518061104952,2.26269641222428
3,MCA,Right,FullSphere,96,0.782919624980206,0.0341634084198958,0.786491917289435,0.698194383605107,0.850590932726063
3,MCA,Right,Frontal25deg,96,0.531382116334325,0.072931969074796,0.535287699171961,0.370153159054772,0.722435714693459
3,MCA,Right,Contralateral25deg,96,1.84642446040838,0.133870016222003,1.84519090225474,1.56241722717227,2.20944932587444
