SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,MetricLabel,Value_dB
P0354,354,14,MCA,MCA,ContralateralHighFrequency,Contralateral HF,5.61014111876999
P0354,354,14,MCA,MCA,HorizontalILDMAE,Horizontal ILD MAE,1.17197179985332
P0354,354,14,MCARv351,MCAR v3.5.1,FullSphereERB,Full-sphere ERB,1.24477358707315
P0354,354,14,MCARv351,MCAR v3.5.1,Contralateral25ERB,Contralateral 25-deg ERB,1.9240291564693
P0354,354,14,MCARv351,MCAR v3.5.1,ContralateralHighFrequency,Contralateral HF,4.71581970766165
P0354,354,14,MCARv351,MCAR v3.5.1,HorizontalILDMAE,Horizontal ILD MAE,0.8248226999186
P0354,354,14,FSPAE,FSP-AE,FullSphereERB,Full-sphere ERB,2.04700209663025
P0354,354,14,FSPAE,FSP-AE,Contralateral25ERB,Contralateral 25-deg ERB,2.52305932052629
P0354,354,14,FSPAE,FSP-AE,ContralateralHighFrequency,Contralateral HF,4.59623373878215
P0354,354,14,FSPAE,FSP-AE,HorizontalILDMAE,Horizontal ILD MAE,1.72455777111552
P0354,354,14,RANF,RANF,FullSphereERB,Full-sphere ERB,1.14176070524776
P0354,354,14,RANF,RANF,Contralateral25ERB,Contralateral 25-deg ERB,1.39703435227994
P0354,354,14,RANF,RANF,ContralateralHighFrequency,Contralateral HF,3.9251623453354
P0354,354,14,RANF,RANF,HorizontalILDMAE,Horizontal ILD MAE,0.520493360374853
P0354,354,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,1.14153443625859
P0354,354,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.59192523505526
P0354,354,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,4.30804746660036
P0354,354,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.659119822920176
P0354,354,14,BOUNDED,Bounded E25,FullSphereERB,Full-sphere ERB,1.1710892530438
P0354,354,14,BOUNDED,Bounded E25,Contralateral25ERB,Contralateral 25-deg ERB,1.70937637219235
P0354,354,14,BOUNDED,Bounded E25,ContralateralHighFrequency,Contralateral HF,4.44896757764308
P0354,354,14,BOUNDED,Bounded E25,HorizontalILDMAE,Horizontal ILD MAE,0.68028146649323
P0354,354,26,SHOnly,SH only,FullSphereERB,Full-sphere ERB,2.62723199564335
P0354,354,26,SHOnly,SH only,Contralateral25ERB,Contralateral 25-deg ERB,3.99525083489996
P0354,354,26,SHOnly,SH only,ContralateralHighFrequency,Contralateral HF,9.47523473808572
P0354,354,26,SHOnly,SH only,HorizontalILDMAE,Horizontal ILD MAE,3.75339307114637
P0354,354,26,SUpDEqSH,SUpDEq + SH,FullSphereERB,Full-sphere ERB,1.66698839384269
P0354,354,26,SUpDEqSH,SUpDEq + SH,Contralateral25ERB,Contralateral 25-deg ERB,2.30871673331757
P0354,354,26,SUpDEqSH,SUpDEq + SH,ContralateralHighFrequency,Contralateral HF,6.76249065255904
P0354,354,26,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,Horizontal ILD MAE,2.08405008389924
P0354,354,26,SUpDEqNN,SUpDEq + Natural Neighbor,FullSphereERB,Full-sphere ERB,1.72249667848014
P0354,354,26,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,Contralateral 25-deg ERB,2.13851358455262
P0354,354,26,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHighFrequency,Contralateral HF,6.1160198651485
P0354,354,26,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,Horizontal ILD MAE,1.77117967469423
P0354,354,26,SUpDEqBary,SUpDEq + Barycentric,FullSphereERB,Full-sphere ERB,1.63068084253573
P0354,354,26,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,Contralateral 25-deg ERB,2.11549919081258
P0354,354,26,SUpDEqBary,SUpDEq + Barycentric,ContralateralHighFrequency,Contralateral HF,5.95604588884989
P0354,354,26,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,Horizontal ILD MAE,1.73326106420161
P0354,354,26,MCA,MCA,FullSphereERB,Full-sphere ERB,1.04070900571745
P0354,354,26,MCA,MCA,Contralateral25ERB,Contralateral 25-deg ERB,1.64026854723297
P0354,354,26,MCA,MCA,ContralateralHighFrequency,Contralateral HF,4.95599649493623
P0354,354,26,MCA,MCA,HorizontalILDMAE,Horizontal ILD MAE,0.731528382289346
P0354,354,26,MCARv351,MCAR v3.5.1,FullSphereERB,Full-sphere ERB,0.830541114689188
P0354,354,26,MCARv351,MCAR v3.5.1,Contralateral25ERB,Contralateral 25-deg ERB,1.32072502405918
P0354,354,26,MCARv351,MCAR v3.5.1,ContralateralHighFrequency,Contralateral HF,3.71302599549216
