EvidenceTier,Split,EvidenceLevel,Endpoint,Unit,Direction,MethodOrder,Method,MethodLabel,Status,Reason,SubjectCount,Mean,SampleStd,RankWithinTier
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,1.491822743957693,0.13687889613330795,1
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,7.641979377692653,0.34703067843912166,10
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,5.944247018534792,0.4004036220375766,9
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,4.009297111134111,0.19950255759326027,7
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,3.9649336314668004,0.20056463975470742,6
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,4.495593002562654,0.2277967709802523,8
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,3.4499094120961176,0.23171047374347317,5
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,2.6274097895647293,0.19101859403787974,1
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,3.011386950942528,0.22851533207091146,2
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,3.4116410253433656,0.25668277184151694,3
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,3.4486082679815353,0.2451050427954667,4
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,7.8042642819033565,0.31445134096009375,10
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,6.264423938911336,0.41756471431859626,9
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,6.041718593168187,0.39538489902150453,8
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,5.916875232177355,0.3619148172525794,7
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,4.768225347885494,0.23342869856472598,6
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,3.581829545524569,0.24531384309886978,5
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,3.1070763722734966,0.2267801702968003,1
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,3.371089329107272,0.26092530623936083,2
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,3.522653467888912,0.2726054748972956,3
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,3.56439755125468,0.2644876136223559,4
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,8.077412574489372,0.3154505573315701,10
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,6.620074389666698,0.4193725946307222,8
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,6.9016058749126366,0.48881480198974,9
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,6.546049234933468,0.42328749259990606,7
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,5.094605617196949,0.2384417351104381,6
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,3.802478437760142,0.2531721616005814,5
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,3.316794192059734,0.25178810680694447,1
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,3.596232802945718,0.25572857027028106,2
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,3.7299262251879344,0.28753649486127314,3
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,3.758828600649851,0.2709252825724428,4
