mode,target_subject,condition_donor,weighted_mae_db,weighted_rmse_db,seed
train_mean_latent,P0341,train_mean,3.185575248936139,4.752820503757499,20260822
train_mean_latent,P0354,train_mean,3.2248272434902834,4.8917816142053585,20260822
train_mean_latent,P0360,train_mean,2.779238793439443,4.2931051031245335,20260822
train_mean_latent,P0369,train_mean,2.931126634978241,4.501115153165482,20260822
condition_shuffle,P0001,P0012,3.2724324011281265,4.960191018169558,20260823
condition_shuffle,P0012,P0013,3.2993072389557923,5.040265813296333,20260823
condition_shuffle,P0013,P0022,3.100647359898467,4.776777414076611,20260823
condition_shuffle,P0022,P0026,2.983486405858995,4.62129844012011,20260823
condition_shuffle,P0026,P0046,3.193097457583891,4.935700714996282,20260823
condition_shuffle,P0046,P0066,3.1984014799196223,4.837375964699023,20260823
condition_shuffle,P0066,P0073,3.297422833082737,4.953499727632982,20260823
condition_shuffle,P0073,P0113,2.9558271614130867,4.654873652785415,20260823
condition_shuffle,P0113,P0116,3.172206514802677,4.80256686575702,20260823
condition_shuffle,P0116,P0125,3.43102739887993,5.1121977027257826,20260823
condition_shuffle,P0125,P0149,3.5107288613877716,5.21144362681713,20260823
condition_shuffle,P0149,P0161,3.0326179903977373,4.694806862894464,20260823
condition_shuffle,P0161,P0166,2.9385806024170478,4.503301969608098,20260823
condition_shuffle,P0166,P0167,3.1983856037641076,4.868579172419023,20260823
condition_shuffle,P0167,P0170,3.2301351240222163,4.85410578018063,20260823
condition_shuffle,P0170,P0171,3.3208349870687637,5.02402282868467,20260823
condition_shuffle,P0171,P0172,3.0511116145961648,4.646432146423686,20260823
condition_shuffle,P0172,P0174,3.0146708827992357,4.6114997432230735,20260823
condition_shuffle,P0174,P0193,3.3777054563184516,5.099050868470059,20260823
condition_shuffle,P0193,P0194,3.104979620956039,4.7717879894714725,20260823
condition_shuffle,P0194,P0198,3.108059718839495,4.7219896385852325,20260823
condition_shuffle,P0198,P0202,3.015202031763239,4.59953644368032,20260823
condition_shuffle,P0202,P0203,2.9937302208999723,4.565052820995541,20260823
condition_shuffle,P0203,P0207,3.19256406765347,4.942655758623055,20260823
condition_shuffle,P0207,P0208,3.2405608957791734,4.844275582014952,20260823
condition_shuffle,P0208,P0221,3.163792329752396,4.826186072438204,20260823
condition_shuffle,P0221,P0230,3.306152647737266,4.953460627988424,20260823
condition_shuffle,P0230,P0242,3.1632335627765618,4.896422759115901,20260823
condition_shuffle,P0242,P0256,3.0107474762245787,4.592606421696395,20260823
condition_shuffle,P0256,P0257,3.253296338791653,4.927407522745192,20260823
condition_shuffle,P0257,P0274,3.0227539748631624,4.605713397870291,20260823
condition_shuffle,P0274,P0277,3.088154551302163,4.717177224466225,20260823
condition_shuffle,P0277,P0278,3.1143551899935358,4.7345674710141505,20260823
condition_shuffle,P0278,P0294,2.8860021864696197,4.513788168493453,20260823
condition_shuffle,P0294,P0295,3.2796374460673583,4.972766934035757,20260823
condition_shuffle,P0295,P0307,2.9453755732008147,4.608574773950405,20260823
condition_shuffle,P0307,P0313,3.1444391848191047,4.759125063269146,20260823
condition_shuffle,P0313,P0335,3.008174694251666,4.5871090683290285,20260823
condition_shuffle,P0335,P0338,3.7948943207057915,5.374827856498172,20260823
