source_index_zero_based,azimuth_deg,elevation_deg,colatitude_deg,solid_angle_weight,is_q26_sparse_input,is_interpolation_evaluation
287,295.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,1,0
288,295.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
289,295.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
290,295.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
291,295.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
292,295.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
293,295.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
294,295.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
295,295.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
296,295.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
297,295.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
298,115.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
299,115.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
300,115.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
301,115.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
302,115.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
303,115.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
304,115.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
305,115.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
306,115.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
307,115.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
308,115.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
309,290.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
310,290.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
311,290.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
312,290.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
313,290.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
314,290.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
315,290.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
316,290.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
317,290.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
318,290.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
319,290.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
320,110.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
321,110.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
322,110.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
323,110.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
324,110.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
325,110.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
326,110.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
327,110.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
328,110.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
329,110.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
330,110.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
331,285.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
332,285.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
333,285.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
334,285.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
335,285.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
336,285.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
337,285.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
338,285.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
339,285.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
340,285.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
341,285.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
342,105.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
343,105.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
344,105.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
345,105.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
346,105.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
347,105.0000000000,10.0000000000,80.0000000000,0.001396639366079517,1,0
348,105.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
349,105.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
350,105.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
351,105.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
352,105.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
353,280.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
354,280.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
355,280.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
356,280.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,1,0
357,280.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
358,280.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
359,280.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
360,280.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
361,280.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
362,280.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
363,280.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
364,100.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
