SubjectLabel,SubjectID,Seed,Variant,Metric,Value
P0172,172,20260821,FiLM-SIREN E130,FullSphereERB,0.775635358821889
P0172,172,20260821,FiLM-SIREN E130,Contralateral25ERB,1.17349090703084
P0172,172,20260821,FSC E190,FullSphereERB,0.750398685609324
P0172,172,20260821,FSC E190,Contralateral25ERB,1.16494128797025
P0172,172,20260822,FiLM-SIREN E130,FullSphereERB,0.771421933965695
P0172,172,20260822,FiLM-SIREN E130,Contralateral25ERB,1.14730977876999
P0172,172,20260822,FSC E190,FullSphereERB,0.742484786375039
P0172,172,20260822,FSC E190,Contralateral25ERB,1.13490962624291
P0172,172,20260823,FiLM-SIREN E130,FullSphereERB,0.761685280594002
P0172,172,20260823,FiLM-SIREN E130,Contralateral25ERB,1.13072408682509
P0172,172,20260823,FSC E190,FullSphereERB,0.740942533975807
P0172,172,20260823,FSC E190,Contralateral25ERB,1.12701563569766
P0174,174,20260821,FiLM-SIREN E130,FullSphereERB,0.806198447708884
P0174,174,20260821,FiLM-SIREN E130,Contralateral25ERB,1.20776150571539
P0174,174,20260821,FSC E190,FullSphereERB,0.773375295620147
P0174,174,20260821,FSC E190,Contralateral25ERB,1.19465155455582
P0174,174,20260822,FiLM-SIREN E130,FullSphereERB,0.803437951021028
P0174,174,20260822,FiLM-SIREN E130,Contralateral25ERB,1.21205181466049
P0174,174,20260822,FSC E190,FullSphereERB,0.770165046178486
P0174,174,20260822,FSC E190,Contralateral25ERB,1.19702028210001
P0174,174,20260823,FiLM-SIREN E130,FullSphereERB,0.806024510942549
P0174,174,20260823,FiLM-SIREN E130,Contralateral25ERB,1.17874080946995
P0174,174,20260823,FSC E190,FullSphereERB,0.778842705493127
P0174,174,20260823,FSC E190,Contralateral25ERB,1.17986114415924
P0193,193,20260821,FiLM-SIREN E130,FullSphereERB,0.782526859280143
P0193,193,20260821,FiLM-SIREN E130,Contralateral25ERB,1.10493307118191
P0193,193,20260821,FSC E190,FullSphereERB,0.765771828900307
P0193,193,20260821,FSC E190,Contralateral25ERB,1.10441402075028
P0193,193,20260822,FiLM-SIREN E130,FullSphereERB,0.783528218297393
P0193,193,20260822,FiLM-SIREN E130,Contralateral25ERB,1.12644257069281
P0193,193,20260822,FSC E190,FullSphereERB,0.762092344804163
P0193,193,20260822,FSC E190,Contralateral25ERB,1.11509390559635
P0193,193,20260823,FiLM-SIREN E130,FullSphereERB,0.779178514657189
P0193,193,20260823,FiLM-SIREN E130,Contralateral25ERB,1.12463498833405
P0193,193,20260823,FSC E190,FullSphereERB,0.767121830734327
P0193,193,20260823,FSC E190,Contralateral25ERB,1.12743601495276
