Seed,SubjectLabel,SubjectID,Variant,Metric,Unit,Value
20260823,P0046,46,FiLM-SIREN E130,Contralateral25ERB,dB,1.15150413193849
20260823,P0046,46,FiLM-SIREN E130,ERBBandILDMean,dB,1.4047496318817139
20260823,P0046,46,FiLM-SIREN E130,ITDWeightedMAE,us,17.193869043258381
20260823,P0046,46,FiLM-SIREN E130,FullSphereLSD,dB,3.4505481695312969
20260823,P0046,46,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.42815700173377991
20260823,P0046,46,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.25835999846458435
20260823,P0046,46,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.520732581615448
20260823,P0046,46,FSC E190,FullSphereERB,dB,0.69167225955500999
20260823,P0046,46,FSC E190,Contralateral25ERB,dB,1.14274080176306
20260823,P0046,46,FSC E190,ERBBandILDMean,dB,1.3258603811264038
20260823,P0046,46,FSC E190,ITDWeightedMAE,us,17.202107713437851
20260823,P0046,46,FSC E190,FullSphereLSD,dB,3.2130612755222963
20260823,P0046,46,FSC E190,HFFirstDifferenceMAE,dB/bin,0.35414266586303711
20260823,P0046,46,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.19867680966854095
20260823,P0046,46,FSC E190,MultiScaleNotchDepthMAE,dB,0.44780787825584412
20260821,P0066,66,FiLM-SIREN E130,FullSphereERB,dB,0.97830376585175405
20260821,P0066,66,FiLM-SIREN E130,Contralateral25ERB,dB,1.4816357648090399
20260821,P0066,66,FiLM-SIREN E130,ERBBandILDMean,dB,1.9251890182495117
20260821,P0066,66,FiLM-SIREN E130,ITDWeightedMAE,us,14.076629237088381
20260821,P0066,66,FiLM-SIREN E130,FullSphereLSD,dB,4.5289745941683197
20260821,P0066,66,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.61610519886016846
20260821,P0066,66,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.40905550122261047
