SubjectLabel,SubjectID,Split,Method,MethodLabel,DirectionCount,Endpoint,EvidenceTier,Unit,EvaluationDirectionCount,Value
P0161,161,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,19.04454539955055
P0161,161,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.1898211641922223
P0166,166,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.5504564046859741
P0166,166,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,26.128697780364504
P0166,166,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,4.0378698911241395
P0166,166,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.3329606056213379
P0166,166,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,18.533076223217687
P0166,166,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.6690535048763042
P0166,166,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.252468466758728
P0166,166,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,18.752807471386244
P0166,166,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.5879230623840699
P0167,167,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.6339573860168457
P0167,167,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,26.938944574572499
P0167,167,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.9195558626525715
P0167,167,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.4500522613525391
P0167,167,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,17.605062567583687
P0167,167,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.7588251496709741
P0167,167,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.4221099615097046
P0167,167,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,20.07503686033121
P0167,167,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.704325106834522
P0170,170,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.5636653900146484
P0170,170,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,21.1684082181166
P0170,170,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.8089851634980878
P0170,170,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.4632090330123901
P0170,170,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,15.310751522803631
P0170,170,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.6460051764688601
P0170,170,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.5384328365325928
P0170,170,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,15.596668860275523
