run_name,tikhonov_epsilon,subject_id,split,scope,residual_mae_db,residual_rmse_db,erb_proxy_mae_db,contralateral_high_frequency_mae_db,strict_hrir_ild_mae_db
sonicom_pilot_q26_tikh3e2,0.03,P0242,val,interpolation_only_767,3.2534121834209295,4.892417442289326,1.3170529501034243,4.9552211070647605,1.1309519079132455
sonicom_pilot_q26_tikh3e2,0.03,P0243,train,all_793,2.8903302722502078,4.513408431119805,1.1532279407308328,4.458615469840458,0.8251108881373395
sonicom_pilot_q26_tikh3e2,0.03,P0243,train,interpolation_only_767,2.917827404294078,4.54301622846553,1.1658251821322492,4.473539174237837,0.8316960359725658
sonicom_pilot_q26_tikh3e2,0.03,P0277,val,all_793,3.159707905077796,4.811852851530675,1.2187666670058177,4.740015019129328,0.9641688718411324
sonicom_pilot_q26_tikh3e2,0.03,P0277,val,interpolation_only_767,3.1956007454824,4.8505530500834215,1.2344772881206887,4.772190678309154,0.9717583576397076
sonicom_pilot_q26_tikh1e1,0.1,P0001,val,all_793,3.4489162551524863,5.16419307352239,1.3827514054138736,4.769903020051288,1.4020016287609622
sonicom_pilot_q26_tikh1e1,0.1,P0001,val,interpolation_only_767,3.4738088647613075,5.1906636074661465,1.3938387188795196,4.784426977108832,1.4118632354670546
sonicom_pilot_q26_tikh1e1,0.1,P0002,train,all_793,3.5465256801368867,5.281830511807867,1.4622008508026125,4.9811090957502175,1.331836276434019
sonicom_pilot_q26_tikh1e1,0.1,P0002,train,interpolation_only_767,3.56726221201677,5.304721312133716,1.4738566593026212,4.991697871628496,1.341849873747201
sonicom_pilot_q26_tikh1e1,0.1,P0238,train,all_793,3.102038343381895,4.762857818805029,1.3595086079109873,4.53765141214391,1.237131304253945
sonicom_pilot_q26_tikh1e1,0.1,P0238,train,interpolation_only_767,3.1316500123167033,4.799806822757289,1.3708840631083135,4.56364153038523,1.2484683296922865
sonicom_pilot_q26_tikh1e1,0.1,P0242,val,all_793,3.3308994780734,5.025777111119481,1.4270521272927539,5.140316443846945,1.3744060816795844
sonicom_pilot_q26_tikh1e1,0.1,P0242,val,interpolation_only_767,3.350984559376659,5.04771761348296,1.43670394902726,5.145427236288688,1.3795875860544413
sonicom_pilot_q26_tikh1e1,0.1,P0243,train,all_793,3.079339755841966,4.769720945541458,1.3283817884557139,4.781019896606027,1.22106415840157
sonicom_pilot_q26_tikh1e1,0.1,P0243,train,interpolation_only_767,3.1014948682548265,4.795054264343648,1.3372634250313205,4.790871532992497,1.2286382813069463
sonicom_pilot_q26_tikh1e1,0.1,P0277,val,all_793,3.2877548898173776,5.008007940655607,1.371599780098078,5.062277711632192,1.2227414059587622
